Date,zip,count
4/13/2020,,2
4/13/2020,37013,37
4/13/2020,37072,4
4/13/2020,37115,8
4/13/2020,37138,2
4/13/2020,37189,1
4/13/2020,37204,1
4/13/2020,37206,1
4/13/2020,37207,5
4/13/2020,37208,2
4/13/2020,37209,2
4/13/2020,37210,7
4/13/2020,37211,12
4/13/2020,37214,1
4/13/2020,37215,1
4/13/2020,37217,9
4/13/2020,37218,3
4/13/2020,37221,1
4/14/2020,,2
4/14/2020,37013,14
4/14/2020,37072,3
4/14/2020,37115,5
4/14/2020,37205,1
4/14/2020,37207,1
4/14/2020,37208,1
4/14/2020,37209,2
4/14/2020,37210,1
4/14/2020,37211,2
4/14/2020,37214,1
4/14/2020,37217,2
4/14/2020,37218,2
4/15/2020,,12
4/15/2020,37013,47
4/15/2020,37072,1
4/15/2020,37076,1
4/15/2020,37115,3
4/15/2020,37138,4
4/15/2020,37203,1
4/15/2020,37206,1
4/15/2020,37207,5
4/15/2020,37208,3
4/15/2020,37209,3
4/15/2020,37210,1
4/15/2020,37211,22
4/15/2020,37212,2
4/15/2020,37214,3
4/15/2020,37217,11
4/15/2020,37218,9
4/16/2020,,4
4/16/2020,37013,17
4/16/2020,37076,1
4/16/2020,37115,2
4/16/2020,37138,1
4/16/2020,37205,1
4/16/2020,37207,1
4/16/2020,37208,1
4/16/2020,37209,5
4/16/2020,37210,3
4/16/2020,37211,17
4/16/2020,37216,1
4/16/2020,37217,4
4/16/2020,37218,1
4/17/2020,,7
4/17/2020,37013,36
4/17/2020,37072,3
4/17/2020,37076,1
4/17/2020,37080,1
4/17/2020,37115,5
4/17/2020,37203,1
4/17/2020,37205,1
4/17/2020,37206,1
4/17/2020,37207,3
4/17/2020,37209,1
4/17/2020,37210,3
4/17/2020,37211,26
4/17/2020,37212,2
4/17/2020,37214,2
4/17/2020,37216,1
4/17/2020,37217,11
4/17/2020,37218,5
4/17/2020,37221,1
4/18/2020,,3
4/18/2020,37013,16
4/18/2020,37072,2
4/18/2020,37115,4
4/18/2020,37206,1
4/18/2020,37207,1
4/18/2020,37209,3
4/18/2020,37211,3
4/18/2020,37214,1
4/18/2020,37217,2
4/18/2020,37218,1
4/18/2020,37221,1
4/19/2020,,4
4/19/2020,37013,8
4/19/2020,37072,3
4/19/2020,37115,4
4/19/2020,37204,1
4/19/2020,37205,1
4/19/2020,37207,1
4/19/2020,37208,1
4/19/2020,37210,4
4/19/2020,37211,7
4/19/2020,37212,1
4/19/2020,37214,1
4/19/2020,37215,1
4/19/2020,37217,1
4/19/2020,37221,1
4/20/2020,,7
4/20/2020,37013,56
4/20/2020,37076,1
4/20/2020,37080,1
4/20/2020,37115,14
4/20/2020,37203,1
4/20/2020,37204,1
4/20/2020,37206,1
4/20/2020,37207,17
4/20/2020,37208,1
4/20/2020,37209,2
4/20/2020,37210,5
4/20/2020,37211,25
4/20/2020,37212,1
4/20/2020,37214,1
4/20/2020,37216,1
4/20/2020,37217,19
4/21/2020,,14
4/21/2020,37013,13
4/21/2020,37072,2
4/21/2020,37076,2
4/21/2020,37115,4
4/21/2020,37138,4
4/21/2020,37203,1
4/21/2020,37205,1
4/21/2020,37206,1
4/21/2020,37207,1
4/21/2020,37209,1
4/21/2020,37210,3
4/21/2020,37211,9
4/21/2020,37212,1
4/21/2020,37214,1
4/21/2020,37216,1
4/21/2020,37217,6
4/21/2020,37218,1
4/21/2020,37220,1
4/21/2020,37221,1
4/22/2020,,8
4/22/2020,37013,37
4/22/2020,37072,5
4/22/2020,37076,3
4/22/2020,37115,26
4/22/2020,37138,3
4/22/2020,37203,2
4/22/2020,37204,2
4/22/2020,37205,1
4/22/2020,37206,6
4/22/2020,37207,6
4/22/2020,37209,3
4/22/2020,37210,6
4/22/2020,37211,22
4/22/2020,37214,2
4/22/2020,37216,1
4/22/2020,37217,16
4/22/2020,37221,3
4/22/2020,37228,1
4/23/2020,,5
4/23/2020,37013,20
4/23/2020,37072,3
4/23/2020,37115,9
4/23/2020,37138,1
4/23/2020,37201,1
4/23/2020,37206,1
4/23/2020,37207,9
4/23/2020,37208,1
4/23/2020,37209,3
4/23/2020,37210,1
4/23/2020,37211,12
4/23/2020,37214,2
4/23/2020,37217,6
4/23/2020,37218,2
4/23/2020,37219,1
4/23/2020,37221,2
4/24/2020,,5
4/24/2020,37013,32
4/24/2020,37072,1
4/24/2020,37115,7
4/24/2020,37138,1
4/24/2020,37201,1
4/24/2020,37203,1
4/24/2020,37205,2
4/24/2020,37206,2
4/24/2020,37207,10
4/24/2020,37210,4
4/24/2020,37211,17
4/24/2020,37214,1
4/24/2020,37217,10
4/24/2020,37218,1
4/24/2020,37221,3
4/25/2020,,3
4/25/2020,37013,13
4/25/2020,37072,1
4/25/2020,37076,4
4/25/2020,37115,3
4/25/2020,37138,1
4/25/2020,37189,1
4/25/2020,37201,2
4/25/2020,37203,1
4/25/2020,37206,2
4/25/2020,37207,4
4/25/2020,37208,1
4/25/2020,37209,3
4/25/2020,37210,2
4/25/2020,37211,18
4/25/2020,37215,1
4/25/2020,37216,1
4/25/2020,37217,3
4/25/2020,37218,1
4/25/2020,37228,1
4/26/2020,,6
4/26/2020,37013,10
4/26/2020,37072,1
4/26/2020,37204,1
4/26/2020,37206,1
4/26/2020,37208,1
4/26/2020,37209,1
4/26/2020,37211,4
4/26/2020,37214,2
4/26/2020,37217,2
4/26/2020,37221,1
4/27/2020,,10
4/27/2020,37013,46
4/27/2020,37027,1
4/27/2020,37072,4
4/27/2020,37076,7
4/27/2020,37115,12
4/27/2020,37138,2
4/27/2020,37189,2
4/27/2020,37203,4
4/27/2020,37205,2
4/27/2020,37206,2
4/27/2020,37207,9
4/27/2020,37208,2
4/27/2020,37209,2
4/27/2020,37210,2
4/27/2020,37211,27
4/27/2020,37214,3
4/27/2020,37217,11
4/27/2020,37218,2
4/27/2020,37221,1
4/27/2020,37228,1
4/28/2020,,3
4/28/2020,37013,11
4/28/2020,37076,2
4/28/2020,37080,1
4/28/2020,37115,3
4/28/2020,37138,2
4/28/2020,37203,3
4/28/2020,37204,2
4/28/2020,37205,1
4/28/2020,37206,4
4/28/2020,37207,1
4/28/2020,37208,2
4/28/2020,37209,2
4/28/2020,37211,12
4/28/2020,37217,4
4/28/2020,37220,1
4/28/2020,37221,4
4/29/2020,,15
4/29/2020,37013,25
4/29/2020,37076,3
4/29/2020,37115,9
4/29/2020,37138,2
4/29/2020,37189,2
4/29/2020,37203,12
4/29/2020,37204,1
4/29/2020,37205,1
4/29/2020,37206,3
4/29/2020,37207,17
4/29/2020,37208,3
4/29/2020,37209,7
4/29/2020,37210,4
4/29/2020,37211,17
4/29/2020,37212,5
4/29/2020,37214,7
4/29/2020,37216,1
4/29/2020,37217,16
4/29/2020,37218,2
4/29/2020,37221,2
4/30/2020,,16
4/30/2020,37013,10
4/30/2020,37076,3
4/30/2020,37201,3
4/30/2020,37203,23
4/30/2020,37205,1
4/30/2020,37206,1
4/30/2020,37207,7
4/30/2020,37209,3
4/30/2020,37210,2
4/30/2020,37211,7
4/30/2020,37212,43
4/30/2020,37214,1
4/30/2020,37215,1
4/30/2020,37217,6
4/30/2020,37218,2
5/1/2020,,9
5/1/2020,37013,41
5/1/2020,37027,1
