county_fips,never,rarely,sometimes,frequently,always,date,county,state,cases,deaths,pop_est_2019,good_compliance,good_rank
47039,0.175,0.171,0.168,0.168,0.318,2020-04-08,Decatur,Tennessee,1,0,11663.0,0.486,90.0
47041,0.157,0.152,0.231,0.132,0.328,2020-03-24,DeKalb,Tennessee,1,0,20490.0,0.46,94.0
47043,0.054,0.076,0.079,0.336,0.455,2020-03-20,Dickson,Tennessee,2,0,53948.0,0.791,8.0
47045,0.175,0.17,0.12,0.204,0.331,2020-03-19,Dyer,Tennessee,1,0,37159.0,0.535,83.5
47047,0.022,0.001,0.089,0.205,0.682,2020-03-21,Fayette,Tennessee,1,0,41133.0,0.887,1.0
47049,0.123,0.122,0.157,0.162,0.437,2020-03-30,Fentress,Tennessee,1,0,18523.0,0.599,65.0
47051,0.166,0.092,0.13,0.201,0.411,2020-03-22,Franklin,Tennessee,1,0,42208.0,0.612,55.5
47053,0.182,0.086,0.111,0.26,0.361,2020-03-22,Gibson,Tennessee,1,0,49133.0,0.621,52.5
47055,0.061,0.068,0.192,0.237,0.441,2020-03-30,Giles,Tennessee,1,0,29464.0,0.6779999999999999,29.0
47057,0.126,0.134,0.129,0.221,0.39,2020-04-01,Grainger,Tennessee,3,0,23320.0,0.611,57.0
47059,0.125,0.178,0.033,0.254,0.41,2020-03-20,Greene,Tennessee,1,0,69069.0,0.6639999999999999,36.0
47061,0.142,0.165,0.151,0.212,0.33,2020-03-24,Grundy,Tennessee,1,0,13427.0,0.542,82.0
47063,0.157,0.113,0.121,0.189,0.42,2020-03-20,Hamblen,Tennessee,1,0,64934.0,0.609,59.0
47065,0.116,0.116,0.129,0.229,0.411,2020-03-13,Hamilton,Tennessee,1,0,367804.0,0.64,44.0
